Smartphone,Brand,Model,RAM,Storage,Color,Free,Final Price
Xiaomi Redmi Note 12 4/128GB Azul Libre + Cable USB-C a Jack,Xiaomi,Redmi Note 12,4,128,Blue,Yes,249.0
Xiaomi Redmi Note 12 Pro 8/256GB Blanco Polar Libre,Xiaomi,Redmi Note 12,8,256,White,Yes,261.95
Motorola Moto G13 4/128GB Gris Libre,Motorola,Moto G13,4,128,Gray,Yes,179.0
Xiaomi Redmi Note 12 4/64GB Azul Libre + Cable USB-C a Jack,Xiaomi,Redmi Note 12,4,64,Blue,Yes,229.0
Xiaomi Redmi 10A 4/128GB Gris Libre + Cable USB-C a Jack,Xiaomi,Redmi 10A,4,128,Gray,Yes,179.0
Realme Narzo 50A Prime FHD+ 4/64GB Negro Libre,Realme,Narzo 50A,4,64,Black,Yes,172.59
Realme C30 3/32GB Azul Libre,Realme,C30,3,32,Blue,Yes,142.59
Motorola Moto E13 2/64GB Negro Libre,Motorola,Moto E13,2,64,Black,Yes,119.0
Motorola Edge 30 Ultra 12/256GB Gris Libre,Motorola,Edge 30,12,256,Gray,Yes,899.0
Xiaomi Redmi 10A 3/64GB Gris Libre + Cable USB-C a Jack,Xiaomi,Redmi 10A,3,64,Gray,Yes,159.0
Realme C30 3/32GB Verde Libre,Realme,C30,3,32,Green,Yes,142.59
Xiaomi Redmi Note 12 4/64GB Gris Libre + Cable USB-C a Jack,Xiaomi,Redmi Note 12,4,64,Gray,Yes,229.0
Xiaomi Redmi 12C 3/64GB Gris Libre + Cable USB-C a Jack,Xiaomi,Redmi 12C,3,64,Gray,Yes,169.0
Xiaomi Redmi Note 11 Pro Plus 5G 8/256GB Gris Libre,Xiaomi,11 Pro,8,256,Gray,Yes,449.99
Xiaomi Redmi Note 12 Pro 5G 8/128GB Azul Libre + Cable USB-C a Jack,Xiaomi,Redmi Note 12,8,128,Blue,Yes,399.0
Realme GT Neo 3 5G 12/256GB Blanco Libre,Realme,GT Neo 3,12,256,White,Yes,702.59
Realme 9 5G 4/128GB Blanco Libre,Realme,9,4,128,White,Yes,282.58
Samsung Galaxy A34 5G 8/256GB Verde Libre + Protector Pantalla,Samsung,Galaxy A34,8,256,Green,Yes,469.0
Xiaomi Redmi Note 12 Pro Plus 5G 8/256GB Azul Libre,Xiaomi,Redmi Note 12,8,256,Blue,Yes,379.95
Xiaomi Redmi Note 12 Pro Plus 5G 8/256GB Negro Libre + Cable USB-C a Jack,Xiaomi,Redmi Note 12,8,256,Black,Yes,499.0
Xiaomi Redmi Note 11 Pro Plus 5G 8/256GB Verde Libre,Xiaomi,11 Pro,8,256,Green,Yes,449.99
Realme C33 4/128GB Dorado Libre,Realme,C33,4,128,Gold,Yes,192.59
Apple iPhone 14 Pro 128GB Negro Espacial Libre,Apple,iPhone 14,,128,Black,Yes,1319.0
POCO C40 4/64GB Amarillo Libre,POCO,C40,4,64,Yellow,Yes,169.99
Apple iPhone 14 Pro Max 256GB Oro Libre,Apple,iPhone 14,,256,Gold,Yes,1599.0
Xiaomi Redmi Note 12S 8/256GB Negro Ónix Libre,Xiaomi,Note 12S,8,256,Black,Yes,225.0
Realme GT2 12/256GB Blanco Libre,Realme,GT2,12,256,White,Yes,601.6
Apple iPhone 14 Pro Max 256GB Plata Libre,Apple,iPhone 14,,256,Silver,Yes,1599.0
Apple iPhone 14 128GB Blanco Estrella Libre,Apple,iPhone 14,,128,White,Yes,1008.9999999999999
Nothing Phone (2) 12/512GB Gris Oscuro Libre,Nothing,Phone (2),12,512,Gray,Yes,799.0
POCO F5 5G 12/256GB Negro Libre,POCO,F5,12,256,Black,Yes,479.99
Xiaomi Redmi Note 11 Pro Plus 5G 8/256GB Azul Libre,Xiaomi,11 Pro,8,256,Blue,Yes,449.99
Samsung Galaxy M53 5G 8/128GB Azul Libre,Samsung,Galaxy M53,8,128,Blue,Yes,413.0
